# C Connect backlog — pipe delimited. Lines starting with # are ignored.
# ref|track|squad|sprint|type|priority|estimate|title|summary
#
# track    : Software | Cloud | Cross-cutting
# squad    : must match a squad:* label created by 00-bootstrap-repo.sh
# sprint   : must match a milestone title created by 00-bootstrap-repo.sh
# type     : story | task | spike | bug | chore
# priority : P0 | P1 | P2 | P3
# estimate : 1 | 2 | 3 | 5 | 8
#
# The stack is entirely open source. No proprietary managed services.
# Software squads own their own build, deploy, monitoring and on-call — the
# DevOps tickets (refs ending -D1 to -D6) are identical for every software
# squad on purpose. Each squad does them for its own service.

# ------------------------------------------------------ SQ1 IDENTITY
ID-01|Software|squad:identity|Sprint 0|task|P0|3|Scaffold the identity service with a health check and an OpenAPI stub|Service skeleton, /healthz and /readyz, and a published OpenAPI document other squads can code against before any logic exists.
ID-02|Software|squad:identity|Sprint 1|story|P0|5|Register a business organisation and its first admin user|As a new customer I can create an organisation and an admin account so my company exists in the portal.
ID-03|Software|squad:identity|Sprint 1|story|P0|5|Log in and receive a short-lived token, backed by Keycloak|Use Keycloak as the open-source identity provider. Passwords never stored by our service. Rate limit failed attempts.
ID-04|Software|squad:identity|Sprint 2|story|P1|5|Invite teammates and assign them a role|Roles: admin, finance, engineer, viewer. Invite by email with an expiring link. Model the roles in Keycloak.
ID-05|Software|squad:identity|Sprint 2|story|P1|8|Enforce role-based permissions at the API gateway|One central policy check so every downstream service inherits the same rules. Consider OPA rather than hand-rolled checks.
ID-06|Software|squad:identity|Sprint 3|story|P1|5|Add TOTP multi-factor authentication|Enrolment, verification, recovery codes, and a policy requiring MFA for the admin role.
ID-07|Software|squad:identity|Sprint 3|spike|P2|3|Decide how much authorisation logic belongs in the gateway versus each service|Timebox two days. Output an ADR the other five squads can follow.
ID-08|Software|squad:identity|Sprint 4|task|P1|3|Session revocation and an immutable audit log of authentication events|Admins can end a session. Every login, failure, role change and invite is recorded.
# SQ1 IDENTITY — DevOps ownership (same six for every software squad)
ID-D1|Software|squad:identity|Sprint 0|task|P0|3|Containerise the service with a multi-stage build and a non-root user|You build it, you ship it. Small image, no secrets baked in, pinned base image, healthcheck. CL3 reviews it but does not write it for you.
ID-D2|Software|squad:identity|Sprint 1|task|P0|3|Write and own your service's CI pipeline|Call CL3's reusable workflow: lint, unit test, Trivy scan, SBOM, build, sign. Green pipeline is your squad's responsibility, not the platform team's.
ID-D3|Software|squad:identity|Sprint 1|task|P0|3|Own your Helm chart and deploy your own service to dev|Start from CL2's chart library. Set your own probes, resource requests and limits. Argo CD syncs it — you own the values.
ID-D4|Software|squad:identity|Sprint 2|task|P0|3|Instrument your service with metrics, logs and traces|Prometheus metrics for rate, errors and duration. Structured JSON logs to Loki. OpenTelemetry spans to Tempo. Build your own Grafana dashboard.
ID-D5|Software|squad:identity|Sprint 3|task|P1|3|Define and publish your service's SLO and error budget|Agree it with CL4, not from them. Pick indicators a customer would actually notice. Put the burn-rate panel on your dashboard.
ID-D6|Software|squad:identity|Sprint 4|task|P1|3|Write your service's runbook and take an on-call shift on game day|Someone from another squad must be able to follow your runbook under pressure. You will be paged during CL4's game day.
# -------------------------------------------------- SQ2 CONNECTIVITY
CN-01|Software|squad:connectivity|Sprint 0|task|P0|3|Scaffold the connectivity service and generate a synthetic coverage dataset|Fake fibre footprint across four cities with realistic gaps. No real network data, ever.
CN-02|Software|squad:connectivity|Sprint 1|story|P0|5|Look up fibre coverage by address or coordinates|As a customer I can check whether my premises are covered before I try to order. Use PostGIS for the spatial query.
CN-03|Software|squad:connectivity|Sprint 1|story|P1|3|Browse the connectivity product catalogue with pricing|List speeds, contract terms and prices in the customer's currency.
CN-04|Software|squad:connectivity|Sprint 2|story|P0|5|Place a connectivity order and receive an order reference|Validate coverage, capture site contact and preferred install window, return a traceable reference.
CN-05|Software|squad:connectivity|Sprint 2|story|P1|5|Track installation status through its lifecycle stages|Submitted, survey booked, survey complete, scheduled, installed, active. Record who changed what, and when.
CN-06|Software|squad:connectivity|Sprint 3|story|P2|3|Notify the customer when their order status changes|Email through an open-source relay. Respect notification preferences.
CN-07|Software|squad:connectivity|Sprint 3|task|P2|5|Publish order lifecycle events to the shared NATS event bus|Billing and the AI assistant both consume these. Agree the schema with SQ4 and SQ6 before you write it.
CN-08|Software|squad:connectivity|Sprint 4|bug|P1|2|Coverage lookup returns duplicate results for adjacent addresses|Reported at demo. Reproduce it, write a failing test, then fix it.
# SQ2 CONNECTIVITY — DevOps ownership (same six for every software squad)
CN-D1|Software|squad:connectivity|Sprint 0|task|P0|3|Containerise the service with a multi-stage build and a non-root user|You build it, you ship it. Small image, no secrets baked in, pinned base image, healthcheck. CL3 reviews it but does not write it for you.
CN-D2|Software|squad:connectivity|Sprint 1|task|P0|3|Write and own your service's CI pipeline|Call CL3's reusable workflow: lint, unit test, Trivy scan, SBOM, build, sign. Green pipeline is your squad's responsibility, not the platform team's.
CN-D3|Software|squad:connectivity|Sprint 1|task|P0|3|Own your Helm chart and deploy your own service to dev|Start from CL2's chart library. Set your own probes, resource requests and limits. Argo CD syncs it — you own the values.
CN-D4|Software|squad:connectivity|Sprint 2|task|P0|3|Instrument your service with metrics, logs and traces|Prometheus metrics for rate, errors and duration. Structured JSON logs to Loki. OpenTelemetry spans to Tempo. Build your own Grafana dashboard.
CN-D5|Software|squad:connectivity|Sprint 3|task|P1|3|Define and publish your service's SLO and error budget|Agree it with CL4, not from them. Pick indicators a customer would actually notice. Put the burn-rate panel on your dashboard.
